,question_text
0,디자이너로서 앞으로의 목표에 관해서 설명해 주세요
1,협업을 할 때 사교성이 좋은 편인지 궁금합니다 그리고 또 사교성을 키우기 위해 어떤 노력을 하셨나요
2,지원자님이 태어나서 지금까지 한 일들 가운데 가장 후회했던 일이 무엇인가요 한 가지만 골라 말씀해 주세요
3,대학 생활을 보내면서 가장 힘들었던 경험은 무엇인가요 그것을 어떻게 극복하였는지 예시를 들어 말씀해 주십시오
4,가장 자신있는 작업은 무엇일까요
5,최근에 재밌게 하고 있는 일이 무엇인가요 그리고 그 일이 왜 재밌는지도 함께 이야기해 주세요
6,디자인을 할 때 가장 중요하게 생각하는 점이 무엇인가요
7,지원자께서는 생활 대학 생활을 보내면서 가장 힘들었던 경험은 무엇이었습니까 그것을 어떻게 극복했는지도 설명 부탁드리겠습니다
8,많은 사람들과 함께 일을 하다 보면 구성원들과의 갈등이 생기기 마련입니다 이러한 갈등이 생길 때 지원자님께서는 어떻게 해결하시나요
9,지금까지 인생을 살면서 지원자님은 가장 후회되는 일이 있다면 어떤 일이 있었나요 한 가지만 말씀해 주세요 그런 거를 가 하니
10,지원자님께서는 이전 직장에서 퇴사한 후 퇴사한 것을 후회하신 적이 있나요 있으시면 왜인지도 함께 말씀 부탁드립니다
11,자신만의 경쟁력을 말해보실 수 있으신가요
12,지원자님이 생각하는 본인의 장단점 말고요 지원자님의 주변 사람들이 생각하는 지원자님의 장점과 단점에 대해서 모두 얘기해 주세요
13,특별히 가고 싶은 회사가 있으십니까 특정 도메인이 중요한지 회사의 분위기가 중요한지 어떤 점을 중점적으로 보시는지 설명 부탁 드리겠습니다
14,역사 속의 인물 중 존경하는 인물에 대해서 말해주시고 그 존경하는 이유에 대해서도 말해주세요
15,요즘 사회는 고령화로 가면서 치매로 인한 사회 문제가 많이 대두되고 있습니다 이것에 대해 건강보험공단이 하는 일과 개선해야 될 일은 무엇이라고 생각하시는지 말씀해 주세요
16,얼마 전 구급 대원이 주취자에게 폭행을 당해 순직한 뉴스가 있었습니다 그 뉴스를 혹시 보셨나요 이 사건에서 이 사건에 대해 지원자님은 어떤 생각을 갖고 계신지 소감을 말씀해 주세요
17,면접자님이 다룰 수 있는 프로그램은 무엇인가요 어느 수준으로 사용할 수 있으시죠
18,지원자께서 일을 하시는데 지원자 직무에 맞지 않는 일을 한다면 그때는 어떡할 것인지 본인의 생각을 말씀해 주십시오
19,지원자님께서는 시간이 남을 때 주로 무슨 일을 하시는지 그리고 그 일을 하는 이유는 무엇인지 설명해 주실 수 있으십니까
20,팀으로 일하는 것과 혼자 일하는 것 중 어느 것을 선호하십니까
21,지원자님이 커뮤니케이션을 잘 할 수 있는 본인만에 스킬이 있다면 한번 소개해 주시겠어요 직접 한번 액팅과 같이 보여주셔도 좋습니다
22,어떤 문제에 부딪쳤을 때 혼자 해결하는 편이실까요 아니면 여러 사람들에게 이야기를 해서 해결하는 편이실까요
23,면접자님께서 입사 후에 기존에 원하던 일을 못하게 되었을 경우가 많습니다 혹시 못하게 되었을 경우 어떻게 하면 좋을까요 그렇게 하실 이유까지 설명해 주시기 바랍니다
24,이전 직장도 훌륭하다고 생각이 드는데 근데 그것을 그만둔 특별한 이유가 있으시나요 있다면 또한 이 지금 현 직장도 같은 이유로도 고만두실 수 있으십니까 그렇다면 그 가능성이 어느정도 되는지 이야기해 주시기 바랍니다
25,지원자님께서 생각하시기에 직무 지식 역량 태도 이 세 가지 요소 중에 가장 중요하다고 생각하시는 것과 그 이유를 함께 말씀해 주세요
26,스트레스를 받으면 어떻게 하시는지 왜 그런 방법으로 스트레스를 해소하시는지 말씀해 주실 수 있으세요
27,협업을 할 때 사교성이 좋은 편이신지 안 좋은 편이신지 궁금합니다 어 또 사교성을 키우기 위해서 지원자님은 어떤 노력을 하셨는지 말씀해 주세요
28,본인은 본인의 소통 능력을 키우기 위해서 어떤 일을 할 수 있으십니까 어떤 일을 할 수 있는지 본인의 의견을 말씀해 주세요
29,지원자님이 과거 프로젝트를 수행했던 경험이 있는지 궁금합니다 있다면 프로젝트 내에서 어떤 역할을 했는지 구체적으로 말씀해 주세요
30,면접자님은 팀으로 일하는 것과 혼자 일하는 것 중에 뭘 더 선호하시나요 그 이유를 함께 말해주세요
31,기차가 운행하던 중에 산사태로 삼십 분 동안 정차를 하게 되었습니다 여기서 지원자님이 관리 책임에 위치에 있다면 이 때 어떻게 조치를 취하실 건가요
32,면접자님께서는 이전 사회 경험을 통해서 아니면 이전 업무를 통해서 어떤 프로젝트를 해 보셨을까요
33,커뮤니케이션에 잘 할 수 있는 본인만에 스킬이 있으시다면 한번 소개해 주시겠어요 직접 한번 보여주셔도 좋겠습니다
34,일상에서 유엑스 경험을 하신 적이 있으시다면 어 설명해 주시겠습니까
35,현대인은 하루에 평균 세 번 거짓말을 하고 산다고 합니다 지원자분께서는 해본 가장 기억에 남 남는 거짓말은 무엇인지 한번 여쭤보고 싶습니다
36,만약 지원자님께서 지금 지원하신 이 직무가 아닌 다른 부서에 배치되게 된다면 어떻게 하시겠습니까 그래도 괜찮으세요
37,본인이 작업한 디자인의 우수성을 알리고자 발표해 본 경험이 있습니까 그렇다면 그 디자인과 그 경험에 대해서 이야기해 주세요
38,어 우리 회사는 일을 하다 보면 본인이 원하지 않더라도 다른 지역에서 업무 전출을 갈 수가 있습니다 이럴 경우에 본인이 어떻게 대처를 하실 거며 타 지역에서도 직무 수행이 가능한지 말씀을 해 보시죠
39,입사를 하게 된다면 업무 수행 중에 일정에 없던 일이 생길 때가 아마 많을 겁니다 이런 상황이 발생한다면 어떻게 대처하실 건가요
40,창의성과 팀워크 중 더 중요한 것은 무엇이라고 생각하십니까 그 이유도 함께 말씀해 주세요
41,본인의 대표적인 프로젝트나 작품에 관해 설명해 주시겠습니까
42,지원자님께서는 팀장에 더 잘 맞을 것 같은지 아니면 팀원에 더 잘 맞을 것 같은지 이유와 함께 설명해 주세요
43,일을 하다가 만약 상사에게 어려운 지시를 받으면 어떻게 하실 건지 그리고 그 이유도 같이 말씀해 주세요
44,어 사람들은 과 협업을 하면서 어 가장 어려웠던 점이 있으시다면 과거에 그 경험했던 것에 대해서 예를 들어서 설명해 주시고 그것을 또 어떻게 극복을 하셨는지 어 그 말씀해 주시기 바랍니다
45,면접자님은 평소에 개인 작업을 많이 하시는 편인가요 아 그렇다면 그렇게 하시는 개인 작업을 하실 수 있는 원동력은 무엇이라고 생각하시는지 답변해 주시기 바랍니다
