,Unnamed: 0,question_text,processed_question,cluster
0,0,디자이너로서 앞으로의 목표에 관해서 설명해 주세요,디자이너 로서 앞 목표 관해 설명,1
1,1,협업을 할 때 사교성이 좋은 편인지 궁금합니다 그리고 또 사교성을 키우기 위해 어떤 노력을 하셨나요,협업 때 사교성 편 또 사교성 위해 노력,6
2,2,지원자님이 태어나서 지금까지 한 일들 가운데 가장 후회했던 일이 무엇인가요 한 가지만 골라 말씀해 주세요,원자 지금 일 가운데 가장 후회 무엇 가지 말씀,1
3,3,대학 생활을 보내면서 가장 힘들었던 경험은 무엇인가요 그것을 어떻게 극복하였는지 예시를 들어 말씀해 주십시오,대학 생활 가장 경험 무엇 그것 극복 예시 말씀 시오,1
4,4,가장 자신있는 작업은 무엇일까요,가장 작업 무엇 요,1
5,5,최근에 재밌게 하고 있는 일이 무엇인가요 그리고 그 일이 왜 재밌는지도 함께 이야기해 주세요,최근 무엇 그 왜 이야기,1
6,6,디자인을 할 때 가장 중요하게 생각하는 점이 무엇인가요,디자인 때 가장 생각 점 무엇,2
7,7,지원자께서는 생활 대학 생활을 보내면서 가장 힘들었던 경험은 무엇이었습니까 그것을 어떻게 극복했는지도 설명 부탁드리겠습니다,지원 생활 대학 생활 가장 경험 무엇 그것 극복 설명,1
8,8,많은 사람들과 함께 일을 하다 보면 구성원들과의 갈등이 생기기 마련입니다 이러한 갈등이 생길 때 지원자님께서는 어떻게 해결하시나요,사람 일 구성원 갈등 마련 갈등 때 원자 해결,0
9,9,지금까지 인생을 살면서 지원자님은 가장 후회되는 일이 있다면 어떤 일이 있었나요 한 가지만 말씀해 주세요 그런 거를 가 하니,지금 인생 원자 가장 가지 말씀 거 하니,1
10,10,지원자님께서는 이전 직장에서 퇴사한 후 퇴사한 것을 후회하신 적이 있나요 있으시면 왜인지도 함께 말씀 부탁드립니다,원자 이전 직장 퇴사 후 퇴사 것 후회 적 왜 인지도 말씀,1
11,11,자신만의 경쟁력을 말해보실 수 있으신가요,자신 경쟁력 말 수 가요,4
12,12,지원자님이 생각하는 본인의 장단점 말고요 지원자님의 주변 사람들이 생각하는 지원자님의 장점과 단점에 대해서 모두 얘기해 주세요,원자 생각 본인 장단점 원자 주변 사람 생각 원자 장점 단점 대해 모두 얘기,2
13,13,특별히 가고 싶은 회사가 있으십니까 특정 도메인이 중요한지 회사의 분위기가 중요한지 어떤 점을 중점적으로 보시는지 설명 부탁 드리겠습니다,회사 특정 도메인 회사 분위기 점 중점 설명 부탁,4
14,14,역사 속의 인물 중 존경하는 인물에 대해서 말해주시고 그 존경하는 이유에 대해서도 말해주세요,역사 속 인물 중 존경 인물 대해 말 그 존경 이유 대해 서도 말,1
15,15,요즘 사회는 고령화로 가면서 치매로 인한 사회 문제가 많이 대두되고 있습니다 이것에 대해 건강보험공단이 하는 일과 개선해야 될 일은 무엇이라고 생각하시는지 말씀해 주세요,요즘 사회 고령화 가면 치매 사회 문제 대두 것 대해 건강 보험 공단 일과 개선 일 무엇 생각 말씀,1
16,16,얼마 전 구급 대원이 주취자에게 폭행을 당해 순직한 뉴스가 있었습니다 그 뉴스를 혹시 보셨나요 이 사건에서 이 사건에 대해 지원자님은 어떤 생각을 갖고 계신지 소감을 말씀해 주세요,얼마 전 구급 대원 취 폭행 순직 뉴스 그 뉴스 혹시 이 사건 이 사건 대해 원자 생각 소감 말씀,2
17,17,면접자님이 다룰 수 있는 프로그램은 무엇인가요 어느 수준으로 사용할 수 있으시죠,면접 자 수 프로그램 무엇 수준 사용 수,1
18,18,지원자께서 일을 하시는데 지원자 직무에 맞지 않는 일을 한다면 그때는 어떡할 것인지 본인의 생각을 말씀해 주십시오,지원 일 지원 직무 일 그때 것 본인 생각 말씀 시오,0
19,19,지원자님께서는 시간이 남을 때 주로 무슨 일을 하시는지 그리고 그 일을 하는 이유는 무엇인지 설명해 주실 수 있으십니까,원자 시간 남 때 주로 무슨 일 그 일 이유 무엇 설명 수,1
20,20,팀으로 일하는 것과 혼자 일하는 것 중 어느 것을 선호하십니까,팀 일 것 혼자 일 것 중 것 선호,1
21,21,지원자님이 커뮤니케이션을 잘 할 수 있는 본인만에 스킬이 있다면 한번 소개해 주시겠어요 직접 한번 액팅과 같이 보여주셔도 좋습니다,원자 커뮤니케이션 수 본인 스킬 한번 소개 직접 한번 액팅,1
22,22,어떤 문제에 부딪쳤을 때 혼자 해결하는 편이실까요 아니면 여러 사람들에게 이야기를 해서 해결하는 편이실까요,문제 때 혼자 해결 편 여러 사람 이야기 해결 편,0
23,23,면접자님께서 입사 후에 기존에 원하던 일을 못하게 되었을 경우가 많습니다 혹시 못하게 되었을 경우 어떻게 하면 좋을까요 그렇게 하실 이유까지 설명해 주시기 바랍니다,면접 자 입사 후 기존 일 경우 혹시 경우 이유 설명 시기,4
24,24,이전 직장도 훌륭하다고 생각이 드는데 근데 그것을 그만둔 특별한 이유가 있으시나요 있다면 또한 이 지금 현 직장도 같은 이유로도 고만두실 수 있으십니까 그렇다면 그 가능성이 어느정도 되는지 이야기해 주시기 바랍니다,이전 직장 생각 그것 이유 또한 이 지금 현 직장 유로 실 수 그 가능성 정도 이야기 시기,1
25,25,지원자님께서 생각하시기에 직무 지식 역량 태도 이 세 가지 요소 중에 가장 중요하다고 생각하시는 것과 그 이유를 함께 말씀해 주세요,원자 생각 직무 지식 역량 태도 이 세 가지 요소 중 가장 생각 것 그 이유 말씀,2
26,26,스트레스를 받으면 어떻게 하시는지 왜 그런 방법으로 스트레스를 해소하시는지 말씀해 주실 수 있으세요,스트레스 왜 방법 스트레스 해소 말씀 수,5
27,27,협업을 할 때 사교성이 좋은 편이신지 안 좋은 편이신지 궁금합니다 어 또 사교성을 키우기 위해서 지원자님은 어떤 노력을 하셨는지 말씀해 주세요,협업 때 사교성 편이 신지 안 편이 신지 또 사교성 위해 원자 노력 말씀,6
28,28,본인은 본인의 소통 능력을 키우기 위해서 어떤 일을 할 수 있으십니까 어떤 일을 할 수 있는지 본인의 의견을 말씀해 주세요,본인 본인 소통 능력 위해 일 수 일 수 본인 의견 말씀,6
29,29,지원자님이 과거 프로젝트를 수행했던 경험이 있는지 궁금합니다 있다면 프로젝트 내에서 어떤 역할을 했는지 구체적으로 말씀해 주세요,원자 과거 프로젝트 수행 경험 프로젝트 내 역할 구체 말씀,1
30,30,면접자님은 팀으로 일하는 것과 혼자 일하는 것 중에 뭘 더 선호하시나요 그 이유를 함께 말해주세요,면접 자 팀 일 것 혼자 일 것 중 뭘 더 선호 그 이유 말,1
31,31,기차가 운행하던 중에 산사태로 삼십 분 동안 정차를 하게 되었습니다 여기서 지원자님이 관리 책임에 위치에 있다면 이 때 어떻게 조치를 취하실 건가요,기차 운행 중 산사태 삼십 분 동안 정차 여기 원자 관리 책임 위치 이 때 조치 취하 실 건가,4
32,32,면접자님께서는 이전 사회 경험을 통해서 아니면 이전 업무를 통해서 어떤 프로젝트를 해 보셨을까요,면접 자 이전 사회 경험 통해 이전 업무 통해 프로젝트 해,1
33,33,커뮤니케이션에 잘 할 수 있는 본인만에 스킬이 있으시다면 한번 소개해 주시겠어요 직접 한번 보여주셔도 좋겠습니다,커뮤니케이션 수 본인 스킬 한번 소개 직접 한번,1
34,34,일상에서 유엑스 경험을 하신 적이 있으시다면 어 설명해 주시겠습니까,일상 유 엑스 경험 적 설명,1
35,35,현대인은 하루에 평균 세 번 거짓말을 하고 산다고 합니다 지원자분께서는 해본 가장 기억에 남 남는 거짓말은 무엇인지 한번 여쭤보고 싶습니다,현대인 하루 평균 세 번 거짓말 산다 원자 가장 기억 남 거짓말 무엇 한번 보고,1
36,36,만약 지원자님께서 지금 지원하신 이 직무가 아닌 다른 부서에 배치되게 된다면 어떻게 하시겠습니까 그래도 괜찮으세요,만약 원자 지금 지원 이 직무 다른 부서 배치,0
37,37,본인이 작업한 디자인의 우수성을 알리고자 발표해 본 경험이 있습니까 그렇다면 그 디자인과 그 경험에 대해서 이야기해 주세요,본인 작업 디자인 우수 발표 경험 그 디자인 그 경험 대해 이야기,1
38,38,어 우리 회사는 일을 하다 보면 본인이 원하지 않더라도 다른 지역에서 업무 전출을 갈 수가 있습니다 이럴 경우에 본인이 어떻게 대처를 하실 거며 타 지역에서도 직무 수행이 가능한지 말씀을 해 보시죠,우리 회사 일 본인 다른 지역 업무 전출 수가 경우 본인 대처 거 타 지역 직무 수행 말씀 해 보시,4
39,39,입사를 하게 된다면 업무 수행 중에 일정에 없던 일이 생길 때가 아마 많을 겁니다 이런 상황이 발생한다면 어떻게 대처하실 건가요,입사 업무 수행 중 일정 때 아마 상황 발생 대처 건가,4
40,40,창의성과 팀워크 중 더 중요한 것은 무엇이라고 생각하십니까 그 이유도 함께 말씀해 주세요,창의성 팀워크 중 더 것 무엇 생각 그 이유 말씀,2
41,41,본인의 대표적인 프로젝트나 작품에 관해 설명해 주시겠습니까,본인 대표 프로젝트 작품 관해 설명,1
42,42,지원자님께서는 팀장에 더 잘 맞을 것 같은지 아니면 팀원에 더 잘 맞을 것 같은지 이유와 함께 설명해 주세요,원자 팀 더 것 팀 더 것 이유 설명,1
43,43,일을 하다가 만약 상사에게 어려운 지시를 받으면 어떻게 하실 건지 그리고 그 이유도 같이 말씀해 주세요,일 만약 상사 지시 그 이유 말씀,4
44,44,어 사람들은 과 협업을 하면서 어 가장 어려웠던 점이 있으시다면 과거에 그 경험했던 것에 대해서 예를 들어서 설명해 주시고 그것을 또 어떻게 극복을 하셨는지 어 그 말씀해 주시기 바랍니다,사람 과 협업 가장 점 과거 그 경험 것 대해 예 설명 주시 그것 또 극복 그 말씀 시기,1
45,45,면접자님은 평소에 개인 작업을 많이 하시는 편인가요 아 그렇다면 그렇게 하시는 개인 작업을 하실 수 있는 원동력은 무엇이라고 생각하시는지 답변해 주시기 바랍니다,면접 자 평소 개인 작업 편 개인 작업 수 원동력 무엇 생각 답변 시기,2
46,46,지원자님께서 우리 회사에 들어오게 된다면 가장 가고 싶은 부서와 왜 그렇게 생각하셨는지 이유를 함께 말씀해 주세요,원자 우리 회사 가장 부서 왜 생각 이유 말씀,2
47,47,아무래도 시험 기간이라던가 어떤 걸 앞두고 시간이 굉장히 촉박할 수 있습니다 어 이러한 시간 관리를 본인이 어떻게 하고 있는지 시간 관리법에 대해서 본인만의 노하우를 말씀을 해 보시죠,시험 기간 걸 시간 수 시간 관리 본인 시간 관리 법 대해 본인 노하우 말씀 해 보시,4
48,48,당신은 디자인 레퍼런스가 무엇인지 알고 있나요 디자인 레퍼런스는 어디서 찾아야 하는 것인지 당신의 생각을 말씀해 주십시오,당신 디자인 레퍼런스 무엇 알 디자인 레퍼런스 것 당신 생각 말씀 시오,1
49,49,만약 일을 하던 중 직무가 적성에 맞지 않는다면 그때는 어떻게 하시겠습니까 어 그런 상황을 좀 가정하고 말씀해 주시면 감사하겠습니다,만약 일 중 직무 적성 그때 상황 좀 가정 말씀 주시,0
50,50,그 전 회사에서 어려운 문제를 해결하기 위해 어떤 아이디어를 제안하였고 또 무엇을 하였습니까 말씀해 주세요,그 전 회사 문제 해결 위해 아이디어 제안 또 무엇 말씀,0
51,51,다른 사람이 생각하는 지원자님의 장 단점은 뭐라고 생각하시나요 이유도 함께 말씀 부탁드립니다,다른 사람 생각 원자 장 단점 생각 이유 말씀,2
